organization,count,usgs,id
"Southeastern Cooperative Wildlife Disease Study, College of Veterinary Medicine, University of Georgia, Athens, GA 30602, USA.",8,False,7125
Mississippi State University,4,False,17848
Western Fisheries Research Center,122,True,654
FLWSC-Orlando,5,True,5051
"The Peregrine Fund, Inc.",2,False,12795
"University of Minnesota, St. Paul",6,False,12644
Leetown Science Center,105,True,365
South Carolina Water Science Center,24,True,559
New Jersey Water Science Center,39,True,470
Office of Water Quality,22,True,503
Branch of Analytical Serv (NWQL),16,True,5046
Eastern Geographic Science Center,35,True,242
Iowa Water Science Center,36,True,351
Kansas Water Science Center,53,True,353
USEPA,5,False,12772
"MacDonald Environmental Sciences Ltd., #24 - 4800 Island Highway North, Nanaimo, British Columbia V9T 1W6",2,False,18887
NASA Goddard Space Flight Center,18,False,7049
Pacific Islands Ecosys Research Center,35,True,5049
University of Hawai`i at Hilo,5,False,6977
Woods Hole Coastal and Marine Science Center,78,True,678
Office of Science Quality and Integrity,6,True,501
Nevada Water Science Center,32,True,465
Office of the AD Water,18,True,509
"Dept. of Env. Sci. and Policy, University of California, Davis",1,False,16917
"University of California, Davis",20,False,7214
Office of Ground Water,18,True,493
USGS NOROCK Temporary Appt.,1,False,16281
"School of Natural Resources, University of Nebraska, Lincoln, NE 68583",2,False,25563
"Nongame Bird Program, Nebraska Game and Parks Commission, Lincoln, NE 68503",2,False,25564
"Department of Fish and Wildlife Conservation, Virginia Tech, Blacksburg, VA 24061, USA. ben.augustine@uky.edu",3,False,12780
Florida Fish and Wildlife Conservation Commission,11,False,12556
"USDA-ARS Jornada Experimental Range, New Mexico State University, Las Cruces, NM 88003-8003, USA",2,False,12627
Astrogeology Science Center,44,True,131
Energy Resources Program,22,True,255
"Biology Department, University of Minnesota, Duluth",1,False,13467
University of Minnesota - Duluth,5,False,6915
"University of Montana, Division of Biological Sciences",11,False,5097
"Montana Fish, Wildlife and Parks, Missoula, Montana 59801, USA",1,False,6582
"University of Montana, Division of Biological Sciences, Missoula, MT, 59812, USA.",6,False,6577
"University of Montana, Flathead Lake Biological Station, Polson, Montana 59860, USA",11,False,6580
"Montana State University, Department of Land Resources and Environmental Sciences",6,False,6765
"Flathead Lake Biological Station, University of Montana, Polson, MT 59860, USA",2,False,6576
"University of Massachusetts, Amherst",11,False,6932
"Division of Biological Sciences, University of Montana, Missoula, MT",1,False,5084
"U.S. Environmental Protection Agency, Gulf Ecology Division, Gulf Breeze, FL",3,False,18090
"U. S. Environmental Protection Agency, Region 5, Water Quality Branch, Chicago, Illinois",5,False,18077
Nebraska Water Science Center,12,True,464
Arizona Water Science Center,33,True,128
Washington Water Science Center,32,True,622
Annis Water Resources Institute-GVSU,2,False,18955
"Center for Limnology, University of Wisconsin, Madison, Wisconsin, 53706, USA.",3,False,24540
Bureau of Ocean Energy Management,4,False,20318
OGW Branch of Geophysics,11,True,486
Virginia Water Science Center,18,True,614
University of Nevada Reno,6,False,12742
"Department of Natural Resources and Environmental Science, University of Nevada",2,False,13048
National Water Quality Assessment Program,65,True,451
National Water Quality Program,18,True,27111
Tennessee Water Science Center,13,True,581
North Dakota Water Science Center,13,True,478
Office of Surface Water,38,True,502
Coastal and Marine Geology Program,18,True,186
"BioDiversity Research Institute, Gorham, ME 04038",7,False,6928
"Center for Environmental Sciences & Engineering, University of Connecticut",1,False,6926
"Smithsonian Tropical Research Institute, Balboa, Panama",3,False,25632
"Department of Forest Resources, University of Minnesota, St. Paul, Minnesota (Correspondence to: russellm@umn.edu)",4,False,13478
University of Maine,14,False,7063
"Aarhus University, Department of Bioscience",2,False,13685
National Minerals Information Center,56,True,432
University of Minnesota,7,False,6626
"Department of Ecology, Evolution and Organismal Biology, Iowa State University, Ames, IA",3,False,12468
"Department of Forest and Wildlife Ecology, University of Wisconsin, Madison",2,False,13018
"Nisqually Indian Tribe, Olympia, WA",2,False,26985
"Dep't Natural Resources, Nisqually Indian Tribe, Olympia, WA",2,False,17711
U.S. Geological Survey,17,True,595
"Dept of Natl Res Mgmt, SDSU, Brookings, SD",2,False,7176
"Hawk Mountain Sanctuary, Acopian Center for Conservation Learning",2,False,18119
U.S. Army Corps of Engineers,63,False,590
"School of the Environment, Washington State University, Vancouver, WA  98686",2,False,17602
"Smithsonian Conservation Biology Institute, National Zoological Park",3,False,7035
University of Wisconsin-La Crosse,5,False,12793
Minnesota Water Science Center,33,True,392
"U.S. Department of the Interior, National Park Service",3,False,12462
Retired USGS Fishery Biologist,2,False,6595
"Quantitative Fisheries Center, Department of Fisheries and Wildlife Michigan State University",5,False,6596
Student contractor,1,False,24700
EPA NEIC,5,False,12657
"Department of Integrative Biology, University of Colorado Denver",3,False,6674
"Department of Wildlife Ecology and Conservation, Fort Lauderdale Research and Education Center, 3205 College Avenue, University of Florida, Davie, FL 33314, USA",9,False,12604
U.S. Environmental Protection Agency,15,False,6914
Louisiana State University,6,False,5115
"Max-Planck Institute for Biogeochemistry, Jena, Germany",4,False,13365
"Indiana University, Bloomington, Indiana, USA",4,False,13366
North Carolina Water Science Center,18,True,476
University of Hawaii Cooperative Studies Unit,11,False,13351
Georgia Water Science Center,29,True,316
Illinois Water Science Center,36,True,344
WY-MT Water Science Center,30,True,5050
US EPA,12,False,6784
"University of Florida, FLREC",16,False,12557
"Geology, Minerals, Energy, and Geophysics Science Center",94,True,312
"Office of the AD Energy and Minerals, and Environmental Health",11,True,5056
Carleton University,8,False,17786
"Department of Biology, Colorado State University",2,False,6998
"Institute of Earth Sciences, University of Applied Sciences and Arts of Southern Switzerland",2,False,24502
"Department of Ecology, Evolution and Marine Biology, University of California, Santa Barbara",3,False,13007
University of Arizona,9,False,7042
UC Davis,11,False,12711
"Civil Engineering Research Institute, Sapporo, Japan",2,False,27295
NDSU,2,False,12459
"Odum School of Ecology, University of Georgia",7,False,17882
"USDA Forest Service, Northern Research Station, Beltsville, MD 20705",1,False,7264
"Univ of South florida, School of Geosciences, Tampa FL",3,False,12607
USFS,5,False,7134
Cornell University,10,False,12722
AAAS Science & Technology Policy Fellow/NASA,2,False,17680
"University of Notre Dame, Dept. of Biological Sciences, Notre Dame, IN, 46556, USA",9,False,16905
Wilson Center,2,False,17773
Wisconsin DNR,2,False,16117
National Phenology Network,8,True,433
U New Mexico,2,False,17774
SUNY - Brockport,3,False,6650
"NPS, Olympic National Park",5,False,7237
American Rivers,2,False,27270
UiT The Arctic University of Norway,2,False,18120
Texas Water Science Center,50,True,583
"University of Maryland Center for Environmental Science, Appalachian Laboratory, 301 Braddock Road, Frostburg, Maryland",1,False,13480
"School of Forestry, Northern Arizona University, Flagstaff, AZ 86011 USA",2,False,27415
"Merriam-Powell Center for Environmental Research and Department of Biological Sciences, Nothern Arizona University, Flagstaff, AZ 86011 USA",2,False,27416
Eastern Mineral and Environmental Resources Science Center,20,True,245
"NWT Geoscience Office, Yellowknife, Canada",1,False,24811
"Department of Conservation and Research, San Antonio Zoo",2,False,24805
Lower Mississippi-Gulf Water Science Center,38,True,24708
Missouri Water Science Center,17,True,396
Viterbo University,1,False,25359
"Dept. of Fisheries and Wildlife,",4,False,18112
Caribbean Water Science Center,17,True,156
New York Water Science Center,72,True,474
"Graduate Degree Program in Ecology and Department of Biology, Colorado State University, Ft. Collins, CO",1,False,13277
"Arizona State University, Tempe, AZ  (DETAIL TO BE ADDED)",1,False,12629
Southwest Regional Director's Office,9,True,5078
"Universidade Federal do Oeste do Pará, Santarem, Para, Brazil",1,False,13526
"Instituto Nacional de Pesquisas da Amazônia, Manaus, Brazil",2,False,13527
Oregon Department Geology and Mineral Industries,1,False,7198
Oregon State University,39,False,6680
"Center of Integrated Geomorphology for the Mediterranean Area, Potenza, Italy",2,False,27089
Istituto Nazionale di Geofisica e Vulcanologia (INGV),2,False,27088
Alaska Science Center Geology Minerals,17,True,119
Department of Earth and Ocean Sciences University of British Columbia,1,False,13720
Volcano Hazards Program,18,True,615
Louisiana Water Science Center,17,True,369
Rutgers University,9,False,12727
UCSC,2,False,17620
University of Iowa,2,False,6768
University of Tennessee,5,False,12716
Kentucky Department of Fish & Wildlife Resources,1,False,13409
"University of Florida, Gainesville",7,False,12558
Nevada Bureau of Mines and Geology,2,False,6689
FLWSC-Tampa,12,True,270
"Iowa State University, Ames, Iowa",1,False,26913
"U.S. Fish and Wildlife Service, Alaska Maritime National Wildlife Refuge",12,False,6678
Maryland Water Science Center,23,True,374
Dwight Center for Conservation Science at Pepperwood Preserve,1,False,13495
"Minnesota Department of Natural Resources, Wildlife Health Program, 5463-C West Broadway, Forest Lake, Minnesota, 55025, USA",2,False,7123
Minnesota Department of Natural Resources,5,False,6964
Vanderbilt University School of Medicine,1,False,6739
National Climate Change and Wildlife Science Center,20,True,411
McGill University,9,False,6646
"University of Florida, Gainesville, FL",2,False,13453
"USA National Phenology Network, SNRE University of Arizona",1,False,16629
"National Phenology Network, University of Arizona",2,False,27543
Office of the Chief Scientist for Water,11,True,5058
Office of the Chief Scientist for Ecosystems,9,True,5062
Stanford University,6,False,6986
UNESCO-IHE,3,False,13328
Connecticut Water Science Center,6,True,196
Massachusetts Water Science Center,30,True,376
IRAP,2,False,27192
Core Science Analytics and Synthesis,24,True,208
"San Francisco State University, Romberg Tiburon Center",1,False,18901
Indiana Water Science Center,30,True,346
Indiana-Kentucky Water Science Center,22,True,27231
"Arizona State University, Tempe AZ USA 85287",2,False,24511
"Utah State University, Logan, UT",2,False,12682
"National Park Service, Yosemite National Park, El Portal, CA",2,False,12683
"Merriam-Powell Center for Environmental Research and Department of Biological Sciences, Northern Arizona University, Flagstaff, AZ, USA",4,False,24591
"USDA Forest Service, Southern Research Station, Aiken, SC",11,False,6684
Office of Water Information,19,True,5054
Center for Integrated Data Analytics,18,True,160
"Center for Limnology University of Wisconsin, Madison, WI 53706, US",2,False,17938
"Center for Limnology, University of Wisconsin Madison",4,False,12951
"University of Bristol, U.K. and University of Oregon, Eugene",2,False,7172
Boston University,7,False,13570
Purdue University,6,False,13186
"University of Wyoming, Department of Botany, 1000 E. University Avenue, Laramie, WY 82071, USA",6,False,7098
Alaska Climate Science Center,7,True,107
Los Alamos National Laboratory,7,False,13447
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, California",3,False,25664
Univ. de Nantes,2,False,27019
Universite de Lorraine,3,False,27022
Institut de Recherche en Astrophysique et Planétologie,3,False,27023
"Jet Propulsion Laboratory, California Institute of Technology",8,False,7023
LANL,2,False,27196
California Institute of Technology,8,False,7218
"National Park Service, Climate Change Response Program",2,False,25366
State Uni. of New York,4,False,25645
State University of New York College of Environmental Science and Forestry,2,False,12623
Oklahoma Water Science Center,12,True,516
"Yellowstone Wolf Project, Yellowstone Ctr for Resources",2,False,16134
"U.S. Fish and Wildlife Service, Division of Endangered Species",3,False,6969
Coastal Protection and Restoration Authority of Louisiana,2,False,17778
Arkansas Water Science Center,13,True,129
"University of Maine, Dept of Plant, Soil, & Envir Sciences",4,False,12606
Eastern Geology and Paleoclimate Science Center,71,True,243
"Department of Earth and Ocean Science, University of British Columbia, Vancouver, British Columbia, Canada",3,False,18176
"Lawrence Berkeley National Laboratory, Berkeley, CA",3,False,6670
"Washington Animal Disease Diagnostic Laboratory, Washington State Univeristy",1,False,7057
Portland State University,3,False,6929
"Portland State University, Portland Oregon",1,False,13401
NSF EAR Postdoctoral Fellow,1,False,27249
"USFWS, National Wildlife Refuge System",10,False,6927
John Carroll University,3,False,27555
Alaska Regional Director's Office,5,True,113
Alaska Pacific University,1,False,12915
"National Marine Fisheries Service, Seattle, WA 98112, USA",5,False,6578
"Department of Geosciences, University of Montana, Missoula, MT 59812, USA",3,False,16951
Washington Department of Fish & Wildlife,5,False,13269
National Geospatial Program,23,True,423
"School of Natural and Built Environments, University of South Australia, Adelaide, SA",2,False,27030
Univ. of California Santa Barbara,2,False,12804
"Department of Geographical Sciences, University of Maryland, College Park, MD, 20742",2,False,7261
Land Change Science,5,True,5055
"McLeod Consulting, U.S. Geological Survey, National Wetlands Research Center, Lafayette, Louisiana, USA",2,False,17617
Lehigh University,2,False,16160
North Central Climate Science Center,6,True,477
U.S. Bureau of Reclamation,5,False,7183
Weatherford International,1,False,7152
"former: USGS Southwest Biological Science Center, Colorado Plateau Research Station, Flagstaff, AZ. Current address:  TN-SCORE, Univ of Tennessee, Knoxville, TN, e-mail: jennen@gmail.com",6,False,6672
Salton Sea Science Office,1,True,550
Michigan Water Science Center,15,True,382
"Contractor, ETI",3,False,7050
"Volunteer, USGS, WFRC, Seattle, WA",1,False,7053
"Lamont-Doherty Earth Observatory, Columbia University",1,False,28041
"Skidaway Institute of Oceanography, Savannah, GA 31411",1,False,28042
"formerly USGS Western Ecological Research Center, Santa Cruz Field Station",2,False,18890
Federal University of Mato Grosso,4,False,18163
"9Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA.",2,False,13299
"Headwaters Corp, Kearney, NE",1,False,16795
"USFWS, Div of Biol Serv, Albuquerque, NM",1,False,16794
"Great Lakes Science Center, Hammond Bay Biological Station",2,False,6602
University of Rhode Island,3,False,6922
Cherokee Nation Technology Solutions,7,False,12876
University of Washington,11,False,6934
"Japan Oil, Gas and Metals National Corporation",1,False,17917
"Pacific Northwest National Laboratory, Richland, WA",1,False,6727
West Virginia University,7,False,12432
Max Planck Institute of Biogeochemistry,2,False,13313
"University of California, Santa Barbara, CA",11,False,6710
Northern Arizona University,7,False,12698
FLWSC-Ft. Lauderdale,19,True,269
"United States Department of Agriculture, Animal and Plant Health Inspection Service, Wildlife Services, 644 Bayfield Street, Suite 215, St Paul, Minnesota, 55107, USA",2,False,7124
"Department of Infectious Disease and Global Health, Cummings School of Veterinary Medicine, Tufts University, North Grafton, MA 01536, USA.",1,False,7128
UCLA,7,False,13399
Syracuse University,4,False,5082
University of Nebraska-Lincoln,3,False,16610
"Conservation Biology Institute, Covallis OR",1,False,7074
"University of California Santa Cruz, Department of Microbiology and Environmental Toxicology",3,False,27354
"U.S. Forest Service, Pacific Northwest Research Station",4,False,12647
Mineral Resources Program,20,True,387
Western Mineral and Environmental Resources Science Center,18,True,662
University of California - Davis,5,False,7082
California Waterfowl Association,2,False,24747
"Woods Hole Oceanographic Institution,",5,False,6706
California Department of Fish and Wildlife,5,False,6952
"Bureau of Reclamation, Denver, CO",1,False,27970
Sureworks,1,False,28043
"Department of Mathematics, University of Wisconsin-La Crosse",2,False,13504
Fisheries and Oceans Canada,8,False,13677
"Geological Sciences, University of Texas at Austin",2,False,6732
"Dep't Biology and Environment, U of Haifa at Oranim, Israel",2,False,27129
Tulane University,3,False,13500
"University of Montana, Polson Montana 59860 USA",6,False,16296
"Flathead Lake Biological Station, Fish and Wildlife Genomics Group, University of Montana, Polson, MT 59860",2,False,12707
San Francisco State University,5,False,6690
Grand Valley State University,1,False,15305
"BioTechnology Institute, University of Minnesota, St. Paul",1,False,12930
"Johns Hopkins University, Department of Geography and Environmental Engineering",3,False,27446
USGS volunteer,1,False,27571
"College of Veterinary Medicine, Seoul National University, Seoul, Republic of Korea",1,False,27539
"Cetacean Research Institute, National Fisheries Research and Development Institute, Ulsan, Republic of Korea",1,False,27540
"Department of Veterinary Medicine, National Institute of Ecology, Geumgangro 1210, Maseo-myeon, Seocheon-gun, Chungnam-Do, Republic of Korea",1,False,27541
Ecometric Research Inc.,2,False,13333
"Univ. of California, Davis",1,False,12532
"Avenida De Los Barrios No. 1, Col. Los Reyes Iztacala, Tlalnepantla, Edo. De Mexico, 54090 Mexico",2,False,24782
San Diego State U.,2,False,25405
University of Wisconsin,7,False,7122
University of Melbourne,6,False,13336
"Department of Pathobiological Sciences, School of Veterinary Medicine, Louisiana State University, Baton Rouge, Louisiana, USA 70803",2,False,17867
"Department of Biology, University of Louisiana at Lafayette",2,False,12987
"Universidade Federal do Tocantins, Palmas,  Brazil",1,False,27577
San Diego Zoo Institute for Conservation Research,3,False,24831
"US Fish and Wildlife Service, Desert Tortoise Recovery Office, Reno, NV",1,False,27274
San Diego Zoo Institure for Conservation Research,2,False,12762
UIUC,2,False,27130
"Universidad Autónoma de Sinaloa Mazatlán, Sinaloa 82000, México",1,False,25528
"Centro de Investigaciones Biológicas del Noroeste, SC La Paz, Baja California, Sur, México",2,False,25529
"Eskom Holdings, Ltd. South Africa",2,False,7206
University of Missouri,5,False,6754
"Ph.D. Candidate. School of Forestry and Wildlife Sciences, Auburn University, Auburn, Alabama",1,False,16146
"Professor, School of Forestry and Wildlife Sciences, Auburn University, Auburn, Alabama",1,False,16147
Clemson University,7,False,7084
"Assistant Professor, Bloomsburg University, Bloomsburg, Pennsylvania",1,False,16148
University of Louisiana at Lafayette,5,False,7155
Water Institute of the Gulf,1,False,16216
"University of Alaska, Fairbanks",7,False,7211
"LGL Alaska Research Associates, Anchorage, AK",1,False,28157
"National Soil Survey Center, USDA-NRCS, Lincoln, NE",1,False,17596
"Flagler College, St. Augustine, FL",1,False,17597
"Kansas State University, Manhattan, KS",1,False,17598
Colorado Geological Survey,3,False,12745
Consultant,1,False,12586
Oklahoma State University,10,False,7249
"University of Alaska Fairbanks, Fairbanks, Alaska",1,False,27559
"US Forest Service, Rocky Mountain Research Station",7,False,6679
"University of Idaho, Moscow ID",6,False,6711
Idaho Dept. of Fish and Game,2,False,25555
Colorado Division of Parks and Wildlife,4,False,13449
"Virginia Polytechnic Institute, Blacksburg, VA",5,False,26923
UCSB Climate Hazards Group,7,False,16236
NASA Marshall Space Flight Center,1,False,16239
UC Santa Barbara Climate Hazards Group,6,False,13549
"Department of Geography, University of Utah",3,False,25396
"Department of Forest and Wildlife Ecology, University of Wisconsin, 1710 University Ave., Room 285, Madison, WI 53726, USA",1,False,12508
"Department of Biological Sciences, University of Alberta, Edmonton, Alberta, Canada",2,False,12980
"University of Colorado, Denver CO",6,False,6709
National Society for Earthquake Technology,2,False,18073
"Montana Fish Wildlife and Parks, Kalispell, Montana 59901",1,False,5133
"Montana State University, Department of Ecology",2,False,16214
University of Wollongong (Australia),1,False,18956
Spanish Council for Scientific Research (Spain) & Univ. of Cambridge (UK),1,False,18957
University of Maryland,13,False,7083
National Center for Atmospheric Research (USA),1,False,18958
Mid-Continent Geographic Science Center,8,True,383
California State University at Long Beach,2,False,24675
Earthquake Hazards Program,8,True,234
"Director of Forestry Research, Dept of Natural Resources & Wildlife, Quebec, Canada",2,False,13582
National Cooperative Geologic Mapping and Landslide Hazards,4,True,5061
California Academy of Sciences,2,False,12937
University of California San Francisco; Howard Hughes Medical Institute,2,False,27105
"Institute for Public Health Genetics, UW, Seattle, WA",2,False,16782
"Greater Yellowstone Inventory and Monitoring Network, NPS",1,False,27242
"National Park Service, Greater Yellowstone Network, 2327 University Way, Suite 2, Bozeman, MT 59715, USA",1,False,16697
"Department of Environment, Land, and Infrastructure Engineering, Politecnico di Torino, Torino, Italy",2,False,5039
University of California - Berkeley,2,False,6643
"Dept. of Engineering Management and Systems Engineering, Missouri University of Science and Technology, Rolla, MO",3,False,16655
Center for Geospatial Information Science (CEGIS),8,True,5074
Pacific Rim Conservation,3,False,17933
"(1) USDA-ARS Jornada Experimental Range and Jornada Basin LTER, Las Cruces, NM; (2) New Mexico State University, Dept. of Plant and Environmental Sciences, Las Cruces, NM",2,False,6973
"National Resources Conservation Service, Richfield, UT 84701 USA",2,False,18131
National Park Service Southeast Utah Group,2,False,6959
Caltech,7,False,13711
"Planetary Science Institute, Tucson",2,False,24732
University of California - Los Angeles,4,False,7081
Colorado State University,20,False,6621
"International Institute for Earth System Science, Nanjing University, Xianlin Avenue 163, Nanjing 210093",3,False,27538
South Dakota Water Science Center,10,True,562
Algoma University,6,False,6585
Concordia University,5,False,6586
North Carolina State University,10,False,7091
Ohio Water Science Center,12,True,513
"U of CO, Boulder",1,False,16669
"Centre for Ecology and Hydrology, Bush Estate, Midlothian, Scotland, UK",2,False,17963
"Temple University, Department of Biology",4,False,16710
Georgia,1,False,6918
"Department of Civil and Environmental Engineering, Clarkson University, Potsdam, New York",2,False,17897
Southwest Research Inst.,4,False,27081
Massachusetts Inst. of Tech.,3,False,27219
"Columbia University, New York",3,False,27078
"Wisconsin Department of Natural Resources, Madison, WI, USA",1,False,7242
Southern Methodist University,2,False,20300
"State Key Lab of Soil Erosion and Dryland Framing, NW A&F Unv, Yangling, China",2,False,27125
"Jiangsu Environmental Monitoring Center, Nanjing, China",2,False,18061
"State Key Lab or Soil Erosion and Dryland Farming, NW A&F Unv, Yangling, China",2,False,27126
SUNY College of Environmental Science & Forestry,3,False,13404
Charles Darwin Foundation,1,False,12718
U Georgia,1,False,27235
Uni Maine,1,False,13516
"University of California, Irvine",3,False,6976
"Department of Geography, University of California, Berkeley, CA 94720, USA",2,False,12626
"College of Earth, Ocean, and Atmospheric Sciences, Oregon State University",1,False,12961
"Department of Geosciences, Pennsylvania State University",1,False,13035
"Departement of Natural Resource Management, Brookings, SD",1,False,26956
"U. S. Fish and Wildlife Service, Billings, Montana",1,False,16894
Yukon River Inter-Tribal Watershed Council,2,False,27447
"University of Illinois, Champagne-Urbana",2,False,17685
Southwest Climate Science Center,7,True,569
University of Wisconsin-Madison,6,False,16925
"Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena CA",2,False,27133
"California Polytechnic State University, San Luis Obispo",2,False,16725
"Colorado State University, Fort Collins, Colorado",4,False,17860
"Department of Civil and Environmental Engineering, Colorado State University, Fort Collins, Colorado",1,False,13538
Finnish Wildlife Agency,2,False,13690
"Dept of Bioscience, Aahus Univ, Denmark",3,False,7177
University of Calgary,2,False,16660
"University of Alberta, Edmonton, Canada",4,False,18102
"University of South Alabama and Dauphin Island Sea Lab, Dauphin",3,False,12554
"Fish & Wildlife Research Institute, Florida Fish and Wildlife Conservation Commission",2,False,13340
"Department of Earth Sciences, P.O. Box 173480, Montana State University, Bozeman, MT, USA. 59717.",2,False,13628
"Department of Landscape Architecture, University of Oregon.",2,False,25612
"INAF-IAPS Istituto di Astrofisica e Planetologia Spaziali, Rome",2,False,26990
Maine Water Science Center,11,True,371
"Univ. of Colorado, Coulder, CO",1,False,25504
Southeast Climate Science Center,7,True,565
"University of Auckland, New Zealand",2,False,26898
New Mexico Bureau of Geology and Mineral Resources,3,False,16150
Muddy Spring Geology,2,False,27087
Uni. of Florida Department of Wildlife Ecology and Conservation,2,False,13332
NMSU,1,False,27575
USGS Intern,1,False,27576
UO,2,False,27574
Calif. Geol. Survey,3,False,7099
UK,2,False,27572
Rensselaer Polytechnic Institute,1,False,12656
"Department of Civil and Environmental Engineering, University of Maryland College",2,False,18121
"United States Department of Agriculture, Agricultural Research Service, Henry A. Wallace Beltsville Agricultural Research Center",2,False,18123
University of Tokyo,3,False,7267
Hiroshima University,1,False,27300
"University of California, Berkeley, Dept. of Civil & Envir. Engineering",3,False,7102
"University of Michigan, School of Natural Resources and Environment",6,False,6649
"National Park Service, Olympic National Park",2,False,16133
Texas A&M University,7,False,6747
"Institute for Bioinformatics and Evolutionary Studies, Department of Biological Sciences, University of Idaho, Moscow, ID 83844",1,False,12708
"Flathead Lake Biological Station, Fish and Wildlife Genomics Group, Division of Biological Sciences, University of Montana, Polson, MT 59860, USA",3,False,5091
